City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Kwinana,AU,58.14,scattered clouds,-32.25,115.7667,Rockingham Apartments
360,Pinawa,CA,61.32,overcast clouds,50.1489,-95.8811,Pinawa Motel
362,Goma,CD,66.63,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
367,Roebourne,AU,67.41,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
370,Helong,CN,69.17,broken clouds,42.5397,128.9972,Helong Hotel
371,Maarianhamina,AX,58.86,clear sky,60.0973,19.9348,Park Alandia Hotel
375,Kruisfontein,ZA,55.22,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
378,Bijie,CN,61.63,broken clouds,27.3125,105.2942,Four Points by Sheraton Bijie
385,Kapiri Mposhi,ZM,54.88,scattered clouds,-13.9652,28.6809,MA 22 LODGE
392,Camana,PE,60.84,broken clouds,-16.6228,-72.7111,Hostal Morales
393,Usinsk,RU,58.44,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
396,Kaduy,RU,64.2,broken clouds,59.2,37.15,Hotel Oktyabrskaya
403,Breytovo,RU,64.35,broken clouds,58.2993,37.8617,"The recreation center ""Sitinsky Beach"""
406,Manosque,FR,68.45,clear sky,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
409,Mount Isa,AU,53.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
410,Hauterive,FR,59.76,few clouds,46.0901,3.4459,Aletti Palace Hotel
415,Strezhevoy,RU,53.24,overcast clouds,60.7333,77.5889,Sibiryachka
416,Horsham,GB,64.6,clear sky,51.064,-0.3272,Springfields Hotel
422,Taltal,CL,61.56,overcast clouds,-25.4,-70.4833,Residencial Karime
424,Ust-Kulom,RU,53.87,clear sky,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
427,Qostanay,KZ,61.09,scattered clouds,53.1667,63.5833,Hotel Fessla
432,Moron,AR,64.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
433,Santiago,CL,54.86,broken clouds,-33.4569,-70.6483,Hotel Panamericano
435,Nizhniy Kuranakh,RU,68.36,clear sky,58.8353,125.4869,Park Pobedy
436,Byron Bay,AU,54.95,overcast clouds,-28.65,153.6167,Backpackers Inn
439,Gbarnga,LR,69.66,overcast clouds,6.9956,-9.4722,Passion Hotel 2
440,Orsk,RU,59.9,scattered clouds,51.2049,58.5668,Kolizey
443,Ust-Koksa,RU,50.49,clear sky,50.2696,85.6108,Uymonskaya Dolina
446,Timoteo,BR,65.26,clear sky,-19.5825,-42.6444,So o @jeeanfelips contem este selo
451,Kalevala,RU,58.23,scattered clouds,65.2,31.1667,Hotel on Sadovaya 2
457,Wexford,IE,56.89,overcast clouds,52.3342,-6.4575,Talbot Hotel Wexford
458,Priyutovo,RU,60.42,clear sky,53.9,53.9333,Neftyanik
462,Henties Bay,,54.28,clear sky,-22.116,14.2845,Fishermans Guest House
463,Joshimath,IN,69.98,moderate rain,30.5667,79.5667,Shivalik Camps & Resort
464,Talnakh,RU,54.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
465,Mananjary,MG,63.37,clear sky,-21.2167,48.3333,Vahiny Lodge
466,Chimbarongo,CL,56.28,broken clouds,-34.7,-71.05,Hostal Ruka Kamañ
468,Zabaykalsk,RU,58.51,broken clouds,49.6333,117.3167,Zheleznyy Mir
471,Kinsale,IE,58.37,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
473,Abhar,IR,65.1,clear sky,36.1468,49.218,مرکز تشخیص رنگ خودرو کرمی
475,Thohoyandou,ZA,59.99,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
478,Hay River,CA,66.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
479,Gardez,AF,69.87,few clouds,33.5974,69.2259,Gardezi Home
480,Port Macquarie,AU,50.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
482,Stornoway,GB,52.93,overcast clouds,58.2093,-6.3865,Caladh Inn
483,Glazov,RU,53.94,clear sky,58.1394,52.6584,Gostinitsa Glazov
484,Lasa,IT,67.08,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
485,Oktyabrskiy,RU,63.73,scattered clouds,54.4815,53.471,Гостиница Октябрьская
486,Havoysund,NO,50.23,moderate rain,70.9963,24.6622,Arctic View Glamping & Restaurant
487,Barcelos,PT,67.91,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
493,Muzhi,RU,54.99,few clouds,65.3667,64.6667,Gostinitsa
498,Nemuro,JP,62.02,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
500,Saint-Francois,FR,62.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
502,Maldonado,UY,58.39,overcast clouds,-34.6667,-54.9167,La Cimarrona
503,Airdrie,GB,57.04,overcast clouds,55.866,-3.9803,Dakota Hotel Eurocentral
505,Siemiatycze,PL,58.03,broken clouds,52.4272,22.8623,Hotel Kresowiak Siemiatycze
507,Turukhansk,RU,60.67,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
509,Kisangani,CD,69.71,light rain,0.5167,25.2,Grand Ramela Hotel
514,Atikokan,CA,64.76,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
521,Verkhnetulomskiy,RU,60.93,clear sky,68.6073,31.7962,Отель Уют
523,Sijunjung,ID,69.93,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
525,Nome,US,53.11,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
526,Husavik,IS,57.92,overcast clouds,66.0449,-17.3389,Bjarnabúð
528,Tocopilla,CL,63.54,overcast clouds,-22.092,-70.1979,Hotel Galvarino
530,Lata,PT,56.57,clear sky,40.1629,-8.3327,Casa Maquia
535,Livingston,GB,56.84,clear sky,55.9029,-3.5226,Mercure Livingston Hotel
538,Skalat,UA,57.92,broken clouds,49.4273,25.9787,Perkhalyuk Ihor Yosypovych
539,Mitzic,GA,68.32,broken clouds,0.7821,11.549,Motel Emys
541,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
542,Oranjemund,,52.81,clear sky,-28.55,16.4333,The Fisherman's Cove
543,Ucluelet,CA,66.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
547,Vestmannaeyjar,IS,52.93,overcast clouds,63.4427,-20.2734,Glamping & Camping
563,Catamarca,AR,66.58,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
564,Mnogovershinnyy,RU,62.06,scattered clouds,53.9353,139.9242,Obshchezhitiye 14
565,Hualmay,PE,64.29,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
566,Severnoye,RU,61.18,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
567,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
569,Fianarantsoa,MG,52.02,scattered clouds,-21.4333,47.0833,Soratel
570,Poiana Stampei,RO,61.03,scattered clouds,47.3167,25.1333,Casa Florea
573,Pangnirtung,CA,51.8,broken clouds,66.1451,-65.7125,Kilabuk Lodge
574,Rocha,UY,62.94,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
575,La Baule-Escoublac,FR,67.66,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
583,Moose Factory,CA,66.2,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
591,Paita,PE,67.91,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
597,Tarbagatay,RU,54.93,overcast clouds,51.4803,107.3602,"Meditativnyy Tsentr ""Sansara"""
606,Nyimba,ZM,63.1,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
608,Port Hedland,AU,59.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
612,Charo,MX,63.52,overcast clouds,19.75,-101.05,Motel and Suite Charo
615,Constanza,DE,66.29,broken clouds,47.6603,9.1758,Hotel Gästehaus Centro
