City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Nishihara,JP,26.1842,127.7558,81.68,84,20,11.5,few clouds
260,Parit Buntar,MY,5.1267,100.4932,79.95,91,80,2.42,broken clouds
261,Harper,LR,4.375,-7.7169,75.27,77,98,11.16,overcast clouds
262,Broken Hill,AU,-31.95,141.4333,42.69,67,78,1.48,broken clouds
263,Yarmouth,US,41.7057,-70.2286,82.87,55,0,14.97,clear sky
264,Namibe,AO,-15.1961,12.1522,62.82,89,16,6.51,few clouds
265,Minna,NG,9.6139,6.5569,74.43,89,94,5.5,overcast clouds
266,Nouadhibou,MR,20.931,-17.0347,71.24,83,20,29.26,few clouds
267,Rawson,AR,-43.3002,-65.1023,44.33,74,16,11.32,few clouds
268,Dingle,PH,10.9995,122.6711,76.06,90,83,3.09,broken clouds
269,Mahebourg,MU,-20.4081,57.7,68.29,83,75,8.05,broken clouds
270,Lakselv,NO,70.0513,24.9718,51.62,87,100,21.85,light intensity drizzle
271,Sitka,US,57.0531,-135.33,60.69,72,40,10.36,scattered clouds
272,Korla,CN,41.7597,86.1469,82.56,23,37,8.16,scattered clouds
273,Katobu,ID,-4.9408,122.5276,72.37,86,56,4.92,broken clouds
274,Maceio,BR,-9.6658,-35.7353,74.64,83,75,2.3,broken clouds
275,Honiara,SB,-9.4333,159.95,81.75,73,89,4.25,overcast clouds
276,Shar,KZ,49.5886,81.0453,71.33,31,27,7.81,scattered clouds
277,Male,MV,4.1748,73.5089,81.86,76,95,14.45,overcast clouds
278,Inhambane,MZ,-23.865,35.3833,64.51,76,0,5.37,clear sky
279,Port Moresby,PG,-9.4431,147.1797,76.62,86,70,8.97,broken clouds
280,Kirakira,SB,-10.4544,161.9205,80.1,82,85,5.32,overcast clouds
281,Sinop,TR,41.7711,34.8709,61.32,57,0,6.22,clear sky
282,Ghanzi,BW,-21.5667,21.7833,59.9,33,9,11.32,clear sky
283,Baiyin,CN,36.5583,104.2081,67.93,38,9,1.66,clear sky
284,Santa Catalina,PH,9.3337,122.8637,78.6,87,91,3.09,overcast clouds
285,Catanzaro,IT,38.8908,16.5987,81.75,49,0,5.97,clear sky
286,Touros,BR,-5.1989,-35.4608,75.9,80,50,13.38,scattered clouds
287,Luwuk,ID,-0.9516,122.7875,76.17,93,99,5.7,overcast clouds
288,Meulaboh,ID,4.1363,96.1285,74.98,90,100,5.14,overcast clouds
289,Nicoya,CR,10.1483,-85.452,79.54,83,76,2.91,broken clouds
290,San Rafael Del Sur,NI,11.8485,-86.4384,84.81,66,68,5.66,broken clouds
291,Kribi,CM,2.95,9.9167,75.31,90,100,8.77,overcast clouds
292,Otane,NZ,-39.8833,176.6333,60.01,81,99,6.42,light rain
293,Wattegama,LK,6.7989,81.4808,73.89,91,98,2.04,overcast clouds
294,Yankton,US,42.8711,-97.3973,91.11,30,75,11.5,broken clouds
295,Alexandria,EG,31.2156,29.9553,78.96,71,0,5.5,clear sky
296,San Rafael,AR,-34.6177,-68.3301,50.14,63,100,5.79,overcast clouds
297,Les Cayes,HT,18.2,-73.75,82.13,73,73,4.38,broken clouds
298,Save,BJ,8.0425,2.486,73.18,93,89,6.87,light rain
299,Lebedinyy,RU,58.5167,125.5167,72.61,58,3,1.88,clear sky
300,Athabasca,CA,54.7169,-113.2854,80.58,48,42,4.54,scattered clouds
301,Wittmund,DE,53.5667,7.7833,58.03,76,100,8.05,overcast clouds
302,Cherskiy,RU,68.75,161.3,51.46,52,48,1.16,scattered clouds
303,Evensk,RU,61.95,159.2333,54.23,59,94,6.53,overcast clouds
304,Koslan,RU,63.4564,48.8989,56.25,68,78,5.61,broken clouds
305,Kang,BW,-23.6752,22.7876,60.82,35,21,8.61,few clouds
306,Coahuayana,MX,18.7333,-103.6833,85.24,64,97,4.25,overcast clouds
307,La Serena,CL,-29.9078,-71.2542,56.71,88,20,10.36,few clouds
308,Atambua,ID,-9.1061,124.8925,65.95,81,39,6.69,scattered clouds
309,Valea Ierii,RO,46.65,23.35,59.67,67,70,3.49,broken clouds
310,Aklavik,CA,68.2191,-135.0107,60.76,40,53,20.51,broken clouds
311,Amahai,ID,-3.3333,128.9167,76.42,92,93,8.97,light rain
312,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,75,8.05,broken clouds
313,Voh,NC,-20.9667,164.7,72.3,72,100,6.6,overcast clouds
314,Rudbar,AF,30.15,62.6,91.22,44,13,10.65,few clouds
315,Mugango,TZ,-1.6833,33.7,68.9,70,41,5.32,scattered clouds
316,Ostrovnoy,RU,68.0531,39.5131,61.39,87,100,17.49,overcast clouds
317,Thompson,CA,55.7435,-97.8558,54.21,90,100,3.69,overcast clouds
318,Grindavik,IS,63.8424,-22.4338,50.47,87,75,20.71,broken clouds
319,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,69.03,69,74,6.51,broken clouds
320,Mossendjo,CG,-2.9506,12.7261,66.6,83,22,4.32,few clouds
321,Sechura,PE,-5.5569,-80.8222,73.15,62,17,18.25,few clouds
322,Bubaque,GW,11.2833,-15.8333,79.86,79,100,12.8,overcast clouds
323,Skoutari,GR,41.0167,23.5167,79.3,73,9,1.01,clear sky
324,Havelock,US,34.8791,-76.9013,93.16,80,77,8.01,broken clouds
325,Fallon,US,39.4735,-118.7774,102.92,7,6,8.5,clear sky
326,Ohara,JP,35.25,140.3833,80.02,87,100,11.27,overcast clouds
327,Mount Gambier,AU,-37.8333,140.7667,37.31,100,72,6.91,broken clouds
328,Olinda,BR,-8.0089,-34.8553,74.93,83,20,6.91,light rain
329,Storforshei,NO,66.4043,14.5233,48.65,81,100,5.75,overcast clouds
330,Gigmoto,PH,13.7796,124.39,80.82,85,100,3.96,light rain
331,Plettenberg Bay,ZA,-34.0527,23.3716,56.1,79,0,5.82,clear sky
332,Lahijan,IR,37.2061,50.0029,74.21,92,20,3.36,light rain
333,Rodeo,US,38.033,-122.2669,97.12,55,0,9.22,clear sky
334,Naro Moru,KE,-0.1676,37.0213,55.33,85,100,9.64,overcast clouds
335,Beba,CU,22.4437,-79.7253,88.07,77,99,13.76,overcast clouds
336,Puerto Montt,CL,-41.4698,-72.9447,50.83,76,75,3.44,broken clouds
337,Chernyshevskiy,RU,63.0128,112.4714,69.44,87,20,3.53,few clouds
338,Damara,CF,4.9608,18.7035,71.04,94,98,3.0,overcast clouds
339,Bria,CF,6.5423,21.9863,69.89,96,100,3.15,overcast clouds
340,Padang,ID,-0.9492,100.3543,76.86,80,89,4.18,overcast clouds
341,Torbay,CA,47.6666,-52.7314,64.27,93,65,12.37,broken clouds
342,Berezovyy,RU,51.6667,135.7,66.2,83,70,0.92,broken clouds
343,Masingbi,SL,8.7833,-11.95,72.46,97,100,2.13,light rain
344,Maniwaki,CA,46.3834,-75.966,77.04,48,100,3.2,overcast clouds
345,Tezu,IN,27.9167,96.1667,75.25,95,88,2.53,overcast clouds
